thermax,थरमैक्स,थर्मैक्स
darshnaarthi,दर्शनार्थी,दर्शनाराथी
rivas,रिवास,रिवास
tarkvaad,तर्कवाद,तरकवाड
anusaarakaa,अनुसारका,अनुसारक
coachella,कोचेला,कोचेला
latakakar,लटककर,लटककर
patravaliyan,पत्रावलियां,पत्रवलियां
parishad,परिषद,परिषद
spinj,स्पिन्ज,स्पिंज
anshida,अनशिदा,अंशिदा
dejesus,डिजीसस,डेजस
saraaymohiuddinpur,सरायमोहिउद्दीनपुर,सरामोहीनुद्धीपुर
lowell,लॉवेल,लोवेल
capacitor,कैपेसिटर,कैपेसटर
passengerjind,पैसेंजरजींद,पैसेंजर्डिंग
granthiyon,ग्रंथियों,ग्रांथियों
buena,बुएना,बुएना
canterbury,कैंटरबरी,केंटरबरी
kaathiyavadi,काठियावड़ी,काठियादावादी
tekchandani,टेकचंदानी,टेकचन्द्नी
fisad,फ़ीसद,फिसाद
beraharamee,बेरहरमी,बेरहरमाय
nishkarshah,निष्कर्षः,निष्कर्षा
activities,ऐक्टिविटीज,एक्टिविटीज
rikailleebreshan,रिकैलीब्रेशन,रिकालीश्रेणार
shasanadhikaariyon,शासनाधिकारियों,शासनाधिकारियों
fijoolkharchi,फिजूलखर्ची,फिजूरखर्चीली
dablyoopeedee,डब्ल्यूपीडी,दब्लूपीड़ी
pace,पेस,पीस
dastar,दस्तार,दस्तर
catlin,कैटलिन,कैटलिन
joddta,जोड़ता,जोड़ता
killat,किल्लत,किल्लैट
gruhnagar,गृहनगर,ग्रुहनगर
wonder,वंडर,वोंडर
vatar,वाटर,वाटर
shving,श्विंग,श्विंग
pashtun,पश्तून,पाष्टन
farm,फार्म,फरम
dibanu,डिबनू,दिबानु
pashchamee,पश्चमी,पश्चमी
uthapatak,उठापटक,उठपतक
nilaabh,नीलाभ,निलाभ
laxmeeniyaan,लक्ष्मीनियां,लक्स्मीनियां
mahaanagarawaasiyon,महानगरवासियों,महागारांवासियों
upneta,उपनेता,उपनेटा
convention,कन्वेंशन,कनवेशन
sharp,शाॅर्प,शरप
kaaryayojana,कार्ययोजना,कार्योजना
maas,मास,मस
westing,वेस्टिंग,वेस्टिंग
kurvetee,कुर्वेती,कुर्वेती
jyaada,ज़यादा,ज्यादा
mukeshvari,मुकेश्वरी,मुकेश्वरी
shrimati,श्रीमति,श्रीमति
vivekadhikaron,विवेकाधिकारों,विवेकाधायकर्स
loksabhavalee,लोकसभावाली,लोकसभावली
kabahaa,कबहा,कबहा
bhraantiyon,भ्रांतियों,भ्राह्तनियों
vivekahin,विवेकहीन,विवेकहीन
balmiki,बाल्मीकि,बाल्मिकी
haryana,हरयाणा,हरयाणा
jivraj,जीवराज,जिवराज
flynn,फ्लिन,फ्लाइन
rana,राणा,रना
vishnupura,विष्णुपुरा,विष्णुपूर्ण
ghotaalebaajon,घोटालेबाजों,घोटालेबाजों
hairatangenz,हैरतअंगेज़,हैराटेंज
takaleephadeh,तकलीफ़देह,तकलपेढ़ाय
peepaadh,पीपाड़,पीपाध
dhabhaashaaraa,धभाशारा,धभाषरा
antdiyan,अंतडियां,अंत्तियां
robin,राबिन,रोबिन
singar,सिंगार,सिंगर
gumshudagi,गुमशुदगी,गुमशुदागी
balkrishna,बालकृष्ण,बलकृष्ण
phabti,फब्ती,फ़त्ती
palatne,पलटने,पालटने
lahlahaati,लहलहाती,लहलाहाटी
nagaada,नगाड़ा,नगाड़ा
udanen,उड़ानें,उदनें
klein,क्लेन,क्लेन
juloos,जूलूस,जुलूस
karyabhar,कार्यभार,कार्यभार
manto,मंटो,मन्तो
paimaish,पैमाइश,पैमाश
covina,कोविना,कोविना
penshan,पेंषन,पेनशन
ogastaavestalaind,ऑगस्टावेस्टलैंड,ओगस्टावास्टाइलेंड
centreeng,सैंट्रींग,सेंटर्ग
activa,ऐक्टिवा,एक्टिवा
barker,बार्कर,बारकर
valkan,वल्कन,वलकन
vruton,वृत्तों,व्रूटन
kabaddi,कबड्डी,कबड़ी
raunakh,रौनक़,रौनख
caitlyn,कैटलिन,कैटलिन
phoos,फूस,फूस
jangadnaa,जनगणना,जन्दना
upakhyaanon,उपाख्यानों,उपख्यानों
sundram,सुंदरम,सुन्द्रम
cochin,कोचीन,कोचिन
neko,नेको,नेको
kaushal,कौशल,कौशल
phaliya,फालिया,फलिया
acevedo,एस्वेडो,एसेवडो
kottayam,कोट्टयम,कोट्टाम
dilaaega,दिलाएगा,दिलागै
kurvi,कर्वी,कुरवी
saunpengi,सौंपेंगी,सौनपेंगी
lekhan,लेख़न,लेखन
gudepu,गुडेपु,गुडपू
pharase,फरसे,फारसे
nubiya,नूबिया,नुबिया
taja,ताजा,तजा
aantrit,आंत्रित,आंतृत
qazi,काजी,क़ाज़ी
murgipalan,मुर्गीपालन,मुर्गीपालन
eddy,एड्डी,एडी
nagine,नगीने,नागिन
subha,सुब्हा,सुभा
luis,लुइस,लूयस
vijayapuram,विजयापुरम,विजयपुरम
bataao,बताअाे,बताओ
ochoa,ओकोआ,ओचोआ
science,साइंस,एससीईएस
sarkarein,सरकारें,सरकारें
bremerton,ब्रेमटन,ब्रेमटोरों
gurupado,गुरुपदो,गुरूपाडो
sanyukt,संयुक्त,संयुक्त
raalod,रालोद,रालोड
baadhaon,बाधाओं,बाधौन
gaumutra,गौमूत्र,गौम्त्र
sabhaen,सभाएं,सभाएं
tani,तनी,तनी
delhi,दिल्ली,देल्ही
suken,सुजेन,सुकेन
vineet,विनीत,विनेट
chimate,चिमाते,चिमते
kikiyana,किकियाना,किकियाना
rocket,रॊकेट,रोकेट
maxwell,मैक्सवेल,मक्सवल
hippo,हिप्पो,हिप्
deepan,दीपन,दीपन
arymaa,अर्यमा,आर्माया
bhulata,भूलता,भुलता
karmaacharee,कर्माचारी,कर्माचारी
durgapur,दुर्गापुर,दुर्गपुर
tribhaashaa,त्रिभाषा,त्रिभाषा
soodkhoron,सूदखोरों,सूदखोरों
prastaavon,प्रस्तावों,प्रस्तावों
survin,सुरवीन,सूरविन
prapti,प्राप्ती,प्रपटी
girivaasiyon,गिरिवासियों,गिरिवासियों
siducing,सिडयूसिंग,सिडकिंग
welwet,वेलवेट,वेलेट
muqarrar,मुक़र्रर,मुकर्र
baxter,बैक्सटर,बैक्सटर
denier,डेनिअर,डेनियर
cw,सीडब्ल्यू,सीएव
uthani,उठनी,उठानी
ghasi,घासी,घसी
ikattha,इकट्ठा,इकाठ्टा
bhupsingh,भूपसिंह,भूपसिंह
dabochne,दबोचने,डाबोचने
crosby,क्रॉस्बी,क्रॉसी
naameegiraamee,नामीगिरामी,नामिगरीमारी
hurley,हर्ले,हर्ली
jarda,जर्दा,जर्दा
liepradhanmantri,लिएप्रधानमंत्री,लिप्रधार्तन्मार्थी
bhranti,भ्रांति,भ्रांती
agencyyon,ऐजेंसियों,एजेनसियों
bago,बागो,बागो
forcee,फारसी,फोरसी
bosaan,बोसान,बोसान
karki,कार्की,कारकी
ginate,गिनते,गिनेट
manokaamnaaon,मनोकामनाओं,मनोकमानों
sammpattiyaan,संम्पत्तियां,सम्पट्टियां
politheenon,पॉलिथीनों,पोलिथिन
mtake,एमटेक,माटके
parichar,परिचर,परिचर
badabadee,बडबडी,बड़बादी
crane,क्रेन,क्रेन
laamiyaan,लामियां,लामियाँ
ulhasnagar,उल्हासनगर,उल्हसनगर
prabhanmantri,प्रभानमंत्री,प्रभानमंत्री
shiwalapurwa,शिवालापुरवा,शिवालपूर्व
ferth,फर्थ,फर्थ
suhagin,सुहागिन,सुहागिन
saraikela,सरायकेला,सरैकेला
romeoville,रोमियोविल,रोमिवेल
raajsthanvasiyon,राजस्थानवासियों,राजसथनवासियों
pratirodhaatmak,प्रतिरोधात्मक,प्रतिधोर्तमातक
svarnikaa,स्वर्णिका,स्वर्णिका
vyavasthapana,व्यवस्थापना,व्यवस्थापना
tel,तेल,टेल
galatfahmi,ग़लतफ़हमी,गलाफ्टमी
takeinsider,टेकइनसाइडर,टेकिंसडर
microfiber,माइक्रोफाइबर,माइक्रोफिबर
shreemahapoorn,श्रीमहापूर्ण,श्रीहमपूर्ण
fallujaa,फ़ल्लूजा,फल्लूजा
donaldson,डोनल्डसन,डोनाल्डसन
chadhne,चढ़ने,चढ़ने
jeevvigyaaniyon,जीवविज्ञानियों,जीवज्ञानियों
cricketing,क्रिकेटिंग,क्रिकेटिंग
reduction,रिडक्शन,रिडक्शन
awaazen,आवाज़ें,अवाजें
wlaad,व्लाद,लालाद
prathmik,प्राथमिक,प्रथिक
thenga,ठेंगा,थेंगा
excel,एक्सेल,एक्सस
chatakaate,चटकाते,चटकाते
kubuddin,कुबुद्दीन,कुबुद्दीन
taaza,ताजा,ताज़ा
padani,पड़नी,पदानी
nichaai,नीचाई,निचाई
wausau,वौसौ,वौसाउ
aalochakon,आलोचकों,आलोचकों
jaljale,ज़लज़ले,जलजले
surat,सूरत,सुरत
jeevati,जीवति,जीवती
prahaarak,प्रहारक,प्रहारक
shreesadguru,श्रीसद्गुरु,श्रीसदगुरू
sanchalanon,संचालनों,संचलनों
bhal,भाल,भाल
tughlaq,तुगलक,तुघ्लक
uthaapatak,उठापटक,उठापतक
hastaantaraneey,हस्तांतरणीय,हस्तारान्टेने
utsaahawarddhan,उत्साहवर्द्धन,उत्साहावरादन
sangoshtree,संगोष्ट्री,संगोष्ट्री
shaasanadhikariyon,शासनाधिकारियों,शासनाधिकारियों
mahadhipatiyon,महाधिपतियों,महाधिपट्टियो
fatima,फातिमा,फतिमा
fode,फोड़े,फोड़े
kantinyoo,कंटिन्यू,कांतिनियो
kaamanaen,कामानाएं,कामनाएँ
chutile,चुटीले,चुतिले
sankhyaen,संख्याएं,संख्याएँ
kranj,करंज,क्रांज
barsata,बरसाता,बारसता
parikalpit,परिकल्पित,परिकल्पित
harpal,हरपाल,हरपैल
maaoont,माऊंट,माओंट
grover,ग्रोवर,ग्रोवर
biolozis,बायोलॉजिस्,बायोफाइज़
halisahar,हालिशहर,हलिसहर
angelo,एंजेलो,एंजेलो
janeudharee,जनेऊधारी,जनेहूद्धरी
bichbachaav,बीचबचाव,बिचबाचव
pokar,पोकर,पोकर
apvartit,अपवर्तित,एपवर्तित
aastin,आस्तीन,आस्तिन
pratishthaavaale,प्रतिष्ठावाले,प्रतिष्ठावले
buenaventura,ब्युनावेंचुरा,बुएनेवूनत्रा
deccan,डेक्कन,डीकेएन
seriw,सेरिव,सेरिव
pardaa,पर्दा,पर्दा
emile,एमिल,एमिल
shaili,शैली,शैली
eastvale,ईस्टवेल,एस्टवाले
chhallaa,छल्ला,छल्ला
lakshyon,लक्ष्यों,लक्ष्यों
hoaf,हॉफ,होफ
jarurih,जरूरीः,जरूरीह
rahya,रह्या,रहया
mahkane,महकने,महकने
devi,देवी,देवी
nielsen,नील्सन,निलेसन
bhira,भीरा,भिरा
chabutare,चबूतरे,चाबूटरे
bhushan,भूषण,भूषण
rukte,रुकते,रुक्ते
aamdani,आमदनी,आमदानी
talkshow,टॉकशो,तालकशोव
junagadh,जूनागढ़,जुनागढ़
padhata,पढ़ाता,पढ़ता
odhakar,ओढ़कर,ओढ़कर
broke,ब्रोक,ब्रोक
talaasha,तलाशा,तलाशा
parivaarwaale,परिवारवाले,परिवरवाले
trubyunal,ट्रिब्यूनल,त्रब्यूनल
brock,ब्रोक,ब्रॉक
yallaappaa,यल्लाप्पा,यल्लाप्पा
tasvaron,तस्वारों,तस्वरों
tugalaki,तुगलकी,तुगालकी
pick,पिक,पीक
circulation,सर्किलेशन,सर्क्यूलेशन
jvar,ज्वार,ज्वार
kanindham,कनिंघम,कनिधाम
kush,कुश,कुश
properfacebuk,प्रॉपरफेसबुक,प्रोपरफ्स
ashrafi,अशरफी,आश्रफी
chadhen,चढ़ें,चढें
vangchuk,वांगचुक,वांगचुक
honeywell,हनीवेल,होनेवल
radiumdharmee,रेडियमधर्मी,रादिगुमध्री
ladhege,लड़ेगे,लढेगे
sachan,सचन,सचन
arthshastriyon,अर्थशास्त्रीयों,अर्थशास्त्रियों
canton,कैंटन,कैनट
aatmamugdha,आत्ममुग्ध,आत्ममगुढा
pontiac,पॉन्टिएक,पोन्टिक
lopez,लोपेज़,लोपेज
ghontanaa,घोंटना,घोंटना
ambani,अम्बानी,अंबानी
maryadaon,मर्यादाओं,मर्यादाओं
ratlam,रतलाम,रतलम
hercules,हरक्यूलिस,हर्क्यूल्स
akola,अकोला,अकोला
sakshan,सक्शन,सक्षण
notbandeeshuda,नोटबंदीशुदा,नोटबन्दशी
lagavaatee,लगवाती,लगवते
alive,अलाइव,अलिव
jivant,जीवंत,जीवन्त
foda,फोड़ा,फोड़ा
fatahee,फटही,फतही
noobiyaa,नूबिया,नूबिया
lalmanee,लालमणी,लालमानी
faisala,फ़ैसला,फैसला
krutyaa,कृत्या,क्र्युता
dhuan,धुआं,धुआन
ahuja,आहूजा,अहूजा
pratipaalpur,प्रतिपालपुर,प्रतिपालपुर
namkeen,नमकीन,नमकीन
manjilen,मंजिलें,मंजिलेन
laffaajee,लफ्फाजी,लफ्जाजी
juraab,जुराब,जुराब
fulae,फुलाए,फुलाए
castalloy,केस्टालॉय,कास्टलो
black,ब्लैक,बीएक्स
sooraj,सूरज,सूराज
bronch,ब्रॉन्च,ब्रोन्क
avarnataa,अवर्णता,अवरनाता
johari,जोहरी,जोहरी
tevree,तेवरी,तेवरी
sanders,सेंडर्स,सैन्डर्स
welder,वेल्डर,वेल्डर
eneeyoo,एनईयू,एनियो
bharashtachaariyon,भरष्टाचारियों,भरष्टाचार्यों
laalmanee,लालमणी,लालमणी
khaatedaar,खातेदार,खातेदार
aazmaanaa,आजमाना,आज़माना
aavrittiyon,आवृत्तियों,आवृत्तियों
kullawee,कुल्लवी,कुल्लावी
bahawalpur,बहावलपुर,बहावलपुर
prathmikta,प्राथमिकता,प्राथमिकता
mobile,मोबाइल,मोबिले
katihar,कटिहार,कतिहर
swecha,स्वेच्छा,स्वेचा
haamidan,हामिदन,हामिदान
samdharshni,समदर्शिनी,समधर्शनी
dridh,दृढ़,दृध
gond,गोंद,गोंद
wishesh,विशेश,विशेष
kaabilegour,काबिलेगौर,काबिलेगुरो
laurense,लौरेंस,लौरेंसे
hisham,हिशाम,हिहाम
chausinga,चौसिंगा,चौसिंगा
pafin,पफिन,पफिन
mate,मेट,मते
buildcon,बिल्डकॉन,बिल्डकॉन
teekon,टीकों,टीकों
athak,अथक,अथक
jindagee,जिदंगी,जिंदगी
chayal,चायल,चायल
maap,माप,माप
last,लास्ट,एलसीएट
gajra,गजरा,गजरा
ratrichar,रात्रिचर,रत्रीचर
kaathalaa,काथला,काठला
sahuuliyata,सहूलियत,सहूलियता
pattnaik,पटनायक,पत्तनाक
nyayalayeen,न्यायालयीन,न्यायलयीन
mukhyamantriyon,मुख्यमंत्रियाें,मुख्यमंत्रियों
jeetanewalon,जीतनेवालों,जीतनेवालों
swaphoto,स्वफ़ोटो,स्वपोथो
clifton,क्लिफ्टन,क्लिफटन
doda,डोडा,डोडा
pendulum,पेंडुलम,पेन्डुलम
chipakane,चिपकने,चिपकाने
nalakasa,नलकसा,नालाकासा
chhah,छह,छाह
gond,गोंड,गोंद
sameekshaakartaa,समीक्षाकर्ता,समीक्षारक्ता
mantripad,मंत्रीपद,मंत्रिपद
liberation,लिब्रेशन,लिबरेशन
asamaany,असमान्य,असमन्य
chungiyon,चुंगियों,चुंगियों
arica,एरिका,आरीका
balot,बेलोट,बलोट
thin,थींं,थिन
formic,फार्मिक,फॉरिक
yuddhak,युद्धक,युद्धक
vegas,वेगास,वेज़
las,लास्ट,लस
chitranshi,चित्रांशी,चित्रनशी
avranta,अवर्णता,अवरंता
wasting,वेस्टिंग,वॉसिंग
vitark,वितर्क,वितरक
mukabaale,मुकबाले,मुकबाले
dharmapoorwee,धर्मपूर्वी,धर्मापूर्वे
ambaani,अंबानी,अंबानी
ibija,इबीजा,इबिजा
mahamedia,महामीडिया,महामेडिया
suzlon,सुज़लोन,सज़ोलन
varnit,वर्णित,वर्णित
jhuthlane,झुठलाने,झुठलाने
madurai,मदुरई,मादुराई
kaundal,कौण्डल,कौंडल
lapatta,लापत्ता,लपट्टा
kshin,क्षीण,क्षिन
tewaree,तेवरी,तेवारी
raichur,रायचूर,रैचुर
lindon,लिंडन,लिंडन
pulama,पुलमा,पुलामा
olraunder,ऑलराउंडर,ओलरौंडर
garibon,ग़रीबों,गरीबों
callahan,कालाहान,कल्लहन
wabag,वाबाग,वबाग
kaipdhari,कैपधारी,कैपधारी
atta,आटा,एटीए
bareli,बरेली,बरेली
jing,जिंग,जिंग
jivan,जीवन,जीवन
reddy,रेड्डी,रेडी
pehni,पहनी,पहनी
tanu,तनु,तनु
deepika,दीपिका,दीपिका
lohati,लोहाती,लोहती
kakkad,कक्कड़,कक्कड़
maulviyon,मौलवियों,मौलवियों
dungarpur,डूंगरपुर,दुनगरपुर
zaalaanaa,झालाना,ज़ालाना
lakme,लक्मे,लकमे
prospectus,प्रोस्पैक्ट्स,प्रॉस्क्यूटस
westinghouse,वेस्टिंगहाउस,वेस्टिंग्फो
bawara,बावरा,बवारा
thakkr,ठक्कर,ठकर
ichchhaachaaree,इच्छाचारी,इच्छाचारे
triya,त्रिया,त्रिया
dhavakon,धावकों,धवकों
damle,दामले,दमले
shravanabelagola,श्रवणाबेलागोला,श्रवणबलगो
nilkamal,नीलकमल,निलकमल
karmacharee,कर्माचारी,कर्मचरेरी
poorwottar,पूर्वाेत्तर,पूर्वोत्तर
lehrayi,लहराई,लहरायी
haito,हैतो,हैतो
prakaandh,प्रकाण्ड़,प्रकांध
khelmantree,खेलमंत्री,खेलमंटरी
bhavishya,भविष्य,भविष्या
egmor,एगमोर,एगमोर
shringar,शृंगार,शृंगर
saupengee,सौंपेंगी,सौपेंगी
knoxville,नॉक्सविल,क्नोक्सविल
bender,बेंडर,बेन्डर
sundaram,सुंदरम,सुन्दरम
pradesh,प्रदेश,प्रदेश
samvedikaran,संवेदीकरण,संवेदीकरण
laguna,लगुना,लगुना
bhisham,भीष्म,भीहम
yemmiganur,येम्मिगनुर,येमिगुनागर
huhtamaki,हुहतमाकी,हुहतमकी
vadli,वडाली,वाडली
gail,गेल,गैल
race,रेस,रेस
salazar,सालाज़र,सलाजर
diphtheria,डिप्थीरिया,डिफ्थेरिया
dradh,दृढ़,द्रध
shadadhi,शदधि,शदाधि
prabodhini,प्रबोधिनी,प्रबोधिनी
lokpratinidhiyon,लोकप्रतिनिधियों,लोकप्रतिर्धिनियो
jatati,जताती,जटती
mangla,मंगला,मांगला
berwyn,बर्विन,बरवीन
mum,मम,मू
udaygadhi,उदयगढ़ी,उदयगढ़ी
akapulko,अकापुल्को,अकापुलको
vaidhruti,वैधृति,वैध्रति
charanbaddh,चरणबद्घ,चरणबद्ध
mandadi,मनदड़ी,मण्डाडी
euclid,यूक्लिड,यूएक्लिड
paarampariktaa,पारंपरिकता,पारमपर्किता
hafate,हांफते,हफाते
sathiya,साथिया,सथिया
sanghiyataa,संघीयता,संघियता
mukhyaatithiyon,मुख्यअतिथियों,मुख्यातियों
vyavasthavirodhi,व्यवस्थाविरोधी,व्यवस्थवर्धि
raktadaataaon,रक्तदाताओं,रक्तदाताओं
baramade,बरामदे,बरामडे
tarutal,तरुतल,तरुताल
kutta,कुत्ता,कुट्टा
jhaadaa,झाड़ा,झाड़ा
kishun,किशुन,किशुन
schaeffler,स्कैफ़लर,शैफ्लर
amrohi,अमरोही,अमरोही
raidical,रैडिकल,रेडिकल
jenner,जेनर,जेनर
varshiya,वर्षिय,वर्षिया
hasino,हसीनों,हासिनो
shaavakon,शावकों,शावकों
rupa,रूपा,रूपा
swaarthparak,स्वार्थपरक,स्वार्थप्रक
weronika,वेरोनिका,वेरोनिका
webb,वेब,वब
mahapatra,महापात्रा,महाप्तरा
chenkein,छींके,चेनकें
agra,अग्र,एग्रा
jiyaangkou,जियांगकोऊ,जियांगको
westwork,वेस्टवर्क,वेस्ट्रूक
janaganna,जनगणना,जनगना
pasco,पास्को,पैसको
jadhav,जाधव,जढ़व
enterprise,एंटरप्राइज,एंटरप्राइस
sanshayon,संशयों,संशयों
varnavyavasthaavaadiyon,वर्णव्यवस्थावादियों,वर्णव्यावाध्यातियों
upasthiyon,उपस्थियों,उपस्थियों
mudichu,मुडिचु,मुडिचू
parnstaron,पर्नस्टारों,पर्स्टारन
ia,ईए,आईएए
baila,बैला,बैला
livaal,लिवाल,लिवाल
hillsboro,हिल्सबोरो,हिल्सबोरो
rashtriyadhyaksha,राष्ट्रियाध्यक्ष,राष्ट्रियाध्यक्षाय
peedablyootee,पीडब्ल्यूटी,पीडाब्ल्लिये
thousand,थाउजेंड,थुसंद
shaakir,शाकिर,शाकिर
salahkaar,सलाहकार,सलाहकर
vishwakarma,विश्वकर्मा,विश्वकर्मा
ridge,रिज,रिडगे
swaasthyaheenataa,स्वास्थ्यहीनता,स्वास्थ्यानाठा
rishvatkhor,रिश्वतखोर,रिष्ठकढ़
praavinses,प्राविंसेस,प्राविंसेज
daftarvaale,दफ्तरवाले,दफतरवाले
physician,फिजिशियन,फिसियां
log,लोग,लोग
jodhika,जोधिका,जोधिका
sevalaa,सेवाला,सेवला
doobat,डूबत,दूबत
sipah,सिपाह,सिपह
bharamaa,भरमा,भरमा
prtigyaa,प्रतिज्ञा,प्रतिज्ञा
meghwal,मेघवाल,मेघवाल
nandoi,नंदोई,नादोई
aurora,ऑरोरा,औरोरा
formuley,फार्मूले,फ़्रॉम्यूली
durghtna,दुर्घटना,दुर्घटना
swatantrasingh,स्वतंत्रसिंह,स्वतंत्रसिंह
monterey,मोंटेरे,मोन्टरी
baalti,बाल्टी,बालती
columbia,कोलंबिया,कॉलूम्बिया
whittier,व्हिटियर,व्हाटियर
dukke,दुक्के,दुक्के
cubeck,क्यूबेक,क्यूक
chamakna,चमकना,चमकना
sheelbhag,शीलभंग,शीलभाग
bistagond,बिस्तागोंड,बिस्टागंड
findlay,फाइंडले,फिंडले
bapaa,बापा,बपा
dehra,देहरा,देहरा
aise,ऐसे,एसी
shrankhala,श्रंखला,श्रंखला
hastaaksharon,हस्ताक्षरों,हस्ताकाशोर
tirupati,तिरुपति,तिरूपति
mangalmoortih,मंगलमूर्तिः,मंगालूमुर्थित
kursiyon,कुर्सियों,कुर्सियों
mithaiyaan,मिठाइयाँ,मिथाइयां
pahno,पहनो,पहनो
halebid,हैलबिड,हेलेबिड
bangsh,बंगश,बांफ
officially,ऑफिशियली,आफिसियली
sevai,सेंवई,सेवै
gurjar,गुर्जर,गुर्जर
samanvayaka,समन्वयक,समन्वयक्या
parnel,पार्नेल,परनेल
sunsan,सूनसान,सुन्सन
cusex,क्यूसैक्स,क्यूसेक्स
madhya,मध्य,मढ़य
yudhrat,युद्धरत,युध्रत
urbandale,अर्बनडेल,उरबंडले
briggs,ब्रिग्स,ब्रिग्स
error,एरर,एरोर
chikhali,चिखली,चिखाली
waan,वाण,वान
adhikaariyaan,अधिकारियां,अधिकारियां
roanoke,रोनोक,रोनोके
haokip,हाओकिप,हाओकिप
poorvapekshaaon,पूर्वापेक्षाओं,पूर्वपेक्षाओं
masheenawat,मशीनवत,मशीनावत
kadmo,कदमो,कादमो
kurami,कुरमी,कुरामी
vidyaathyon,विद्याथयों,विद्यात्यों
simtataa,सिमटता,सिमटा
sangrur,संगरूर,संग्रूर
strongsville,स्ट्रोंगस्विल,स्ट्रॉनग्लाइव
agvaai,अगवाई,अगवाई
jangan,जनगन,जनग
nagraj,नागराज,नागराज
yariyan,यारियां,यारियां
bhagyeshwar,भाग्येष्वर,भाग्यशेवर
jivati,जीवति,जीवती
sudkhoron,सूदखोरों,सुद्धोरों
rukwaakar,रुकवाकर,रुकवाकर
brahmvarta,ब्रह्मवर्ता,ब्रह्मवर्ता
gray,ग्रे,ग्रेय
bhraanti,भ्रांति,भ्राहन्ति
purooshottamapur,पुरूषोत्तमपुर,पुरूषतपुमूर
teji,तेजी,तेजी
svaatan,स्वातं,स्वातान
mantarimandaliya,मंत्रिमंडलीय,मंतरिमण्डलय
ashley,एशले,एश्ली
mathews,मेथिव्स,मथेवों
moolon,मूलों,मूलों
akzo,एक्ज़ो,एक्जो
hamirpur,हमीरपुर,हमीरपुर
pokhriyal,पोखरियाल,पोखरियल
bolateen,बोलतीं,बोलतीं
pratishthavale,प्रतिष्ठावाले,प्रतिष्ठावले
dabangata,दबंगता,दबनगता
dhuriya,धुरिया,धुरिया
teap,टिप,टीप
gazi,गाज़ी,गज़ी
ijajat,इजाजत,इजाजत
mejbani,मेज़बानी,मेजबनी
toledo,टोलेडो,तोलेडो
mohadhaa,मोहड़ा,मोहादा
putli,पुतली,पुत्ली
sanchari,संचारी,संचारी
taapanee,टापनी,तापनी
little,लिटिल,लिटल
narnaari,नरनारी,नर्णरी
dhaniye,धनिये,धनिए
